Location;Crop;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;
Peru;Soybean;Tonnes/hectare;1,000;1,328;1,632;1,242;1,442;1,567;1,447;1,498;1,542;1,395;1,676;1,579;1,364;1,364;1,364;1,364;1,364;1,364;1,364;2,273;2,273;2,273;2,273;2,273;2,273;2,273;2,273;2,273;2,273;2,273;2,273;2,354;2,395;2,433;2,467;2,504;2,541;2,580;2,619;2,660;2,700;;;
Philippines;Soybean;Tonnes/hectare;1,000;1,041;1,055;1,305;1,376;1,116;1,296;1,151;2,347;2,584;2,717;2,717;1,539;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,793;0,807;0,820;0,831;0,843;0,855;0,868;0,880;0,894;0,907;;;
Russia;Soybean;Tonnes/hectare;1,063;0,937;0,783;0,795;0,727;0,596;0,583;0,691;0,652;0,762;0,812;0,839;0,888;0,672;0,973;0,956;0,952;0,837;0,998;1,078;1,014;1,428;1,219;1,067;1,294;1,360;1,498;1,477;1,468;1,402;1,496;1,461;1,474;1,488;1,501;1,514;1,528;1,542;1,555;1,570;1,584;;;
Saudi Arabia;Soybean;Tonnes/hectare;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,038;1,053;1,069;1,084;1,100;1,116;1,133;1,149;1,167;1,184;;;
South Africa;Soybean;Tonnes/hectare;1,000;0,819;1,492;1,232;0,901;1,177;1,379;1,608;1,540;1,866;1,111;1,692;2,020;0,913;1,100;1,138;2,120;1,000;1,128;2,150;1,826;1,691;1,383;1,510;1,896;2,127;1,293;2,293;1,957;1,603;1,681;1,770;1,796;1,823;1,847;1,872;1,897;1,923;1,949;1,975;2,000;;;
Switzerland;Soybean;Tonnes/hectare;2,429;2,343;2,634;2,282;2,758;2,775;2,572;2,647;2,605;3,323;3,939;3,068;3,024;2,335;2,845;2,635;2,603;2,604;2,909;2,709;2,852;2,939;2,810;2,525;2,595;2,358;2,549;3,328;2,076;3,109;2,965;2,986;3,006;3,027;3,048;3,069;3,091;3,112;3,133;3,155;3,177;;;
Thailand;Soybean;Tonnes/hectare;1,000;1,369;1,399;1,371;1,326;1,650;1,405;1,541;1,430;1,414;1,344;1,231;1,026;1,115;1,303;1,257;1,211;1,051;1,700;1,600;1,520;1,655;1,829;1,767;1,733;1,657;1,833;1,583;1,720;1,720;1,720;1,778;1,806;1,834;1,861;1,888;1,916;1,946;1,975;2,005;2,035;;;
Türkiye;Soybean;Tonnes/hectare;1,000;2,391;3,551;2,172;2,258;2,419;2,439;1,739;2,375;4,133;2,647;2,348;3,167;2,833;1,667;0,967;1,567;1,033;1,133;1,267;2,900;3,486;3,486;4,500;4,257;4,571;4,100;3,475;3,500;3,500;3,500;3,550;3,601;3,654;3,701;3,750;3,799;3,850;3,901;3,952;4,001;;;
Ukraine;Soybean;Tonnes/hectare;1,000;1,389;1,714;1,386;1,348;0,957;0,938;0,581;1,161;1,071;1,049;1,028;1,276;1,172;1,078;1,453;1,189;1,086;1,523;1,674;1,620;2,036;1,707;1,992;2,238;1,840;2,301;1,973;2,580;2,293;2,152;2,300;2,340;2,380;2,418;2,456;2,494;2,534;2,573;2,612;2,651;;;
United Kingdom;Soybean;Tonnes/hectare;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
United States;Soybean;Tonnes/hectare;2,292;2,303;2,529;2,195;2,782;2,376;2,527;2,617;2,617;2,464;2,562;2,664;2,559;2,276;2,839;2,861;2,882;2,809;2,671;2,957;2,923;2,820;2,688;2,960;3,197;3,232;3,494;3,315;3,399;3,189;3,379;3,413;3,440;3,468;3,491;3,516;3,542;3,570;3,596;3,625;3,651;;;
Viet Nam;Soybean;Tonnes/hectare;1,000;0,791;0,822;0,880;0,943;1,036;1,032;0,873;1,136;1,186;1,064;1,115;1,546;1,543;1,543;2,249;1,980;2,111;2,057;1,650;2,295;2,049;1,335;1,289;1,317;1,327;1,644;1,500;1,528;1,434;1,434;1,515;1,540;1,563;1,584;1,607;1,631;1,655;1,680;1,705;1,730;;;
World;Soybean;Tonnes/hectare;2,228;1,992;2,007;1,965;2,168;2,040;2,104;2,223;2,234;2,155;2,288;2,289;2,416;2,041;2,305;2,331;2,494;2,420;2,255;2,531;2,566;2,386;2,497;2,505;2,706;2,633;2,920;2,780;2,893;2,756;2,842;2,886;2,910;2,935;2,956;2,978;3,000;3,024;3,047;3,072;3,095;;;
Argentina;Wheat;Thousand tonnes;11 037.00;9 999.00;9 996.00;9 737.00;11 406.00;9 542.00;16 107.00;15 087.00;12 601.00;15 300.00;15 960.00;15 292.00;12 301.00;14 563.00;15 960.00;12 593.00;14 548.00;16 487.00;8 508.00;9 016.00;16 068.00;14 683.00;8 134.00;9 200.00;13 930.00;11 300.00;18 400.00;18 500.00;19 460.00;19 750.00;17 200.00;19 784.15;19 980.51;20 281.65;20 600.48;20 875.37;21 204.84;21 507.95;21 818.68;22 121.26;22 425.65;;;
Australia;Wheat;Thousand tonnes;15 066.10;10 557.40;14 738.70;16 479.30;8 961.30;16 503.90;22 924.30;19 226.60;21 464.80;24 757.40;22 108.10;24 299.30;10 131.90;26 131.90;21 905.10;25 150.40;10 821.60;13 569.40;21 420.20;21 834.01;27 410.10;29 905.01;22 855.00;25 302.71;23 742.56;22 274.51;31 818.74;20 941.13;17 597.56;15 165.00;31 164.50;23 501.40;23 756.03;24 271.20;24 746.25;25 089.67;25 471.44;25 903.02;26 350.80;26 791.53;27 184.89;;;
Brazil;Wheat;Thousand tonnes;3 077.80;2 739.20;2 051.80;2 137.80;1 524.30;3 197.50;2 406.90;2 187.70;2 402.80;1 658.40;3 194.20;2 913.90;6 073.50;5 845.90;4 873.10;2 233.70;4 097.10;5 884.00;5 026.20;5 881.60;5 788.60;4 379.50;5 527.90;5 971.10;5 534.90;5 534.90;6 726.80;4 263.50;5 427.60;5 154.70;6 354.80;5 791.98;5 907.49;6 045.95;6 167.57;6 275.53;6 388.51;6 513.35;6 644.09;6 777.03;6 902.92;;;
BRICS;Wheat;Thousand tonnes;202 461.86;194 865.42;206 819.47;211 268.35;194 629.51;203 266.97;212 619.13;241 490.83;207 360.50;219 548.35;216 087.25;215 971.19;222 193.61;193 710.69;216 088.76;217 838.38;228 949.48;242 492.92;262 481.19;266 025.29;245 723.77;268 184.87;262 593.70;277 209.78;291 678.05;287 964.39;307 543.48;324 645.04;310 744.75;318 338.39;333 342.69;329 818.71;331 301.67;335 213.19;337 351.59;340 763.32;343 194.99;346 526.02;349 127.62;352 302.45;354 893.27;;;
Canada;Wheat;Thousand tonnes;32 098.30;31 945.60;29 877.20;27 225.90;22 919.50;24 989.40;29 801.40;24 299.40;24 082.30;26 959.90;26 535.50;20 630.20;15 961.30;23 048.60;24 795.50;25 748.10;25 265.40;20 090.40;28 619.20;26 949.90;23 299.60;25 288.00;27 246.00;37 589.10;29 442.10;27 647.40;32 139.90;30 377.30;32 351.90;32 669.80;35 188.18;34 110.13;34 953.01;35 348.47;35 974.70;36 129.13;36 372.43;36 641.78;37 097.23;37 525.39;37 844.48;;;
Chile;Wheat;Thousand tonnes;1 718.00;1 589.00;1 557.00;1 324.00;1 271.00;1 384.00;1 227.00;1 677.00;1 197.00;1 493.00;1 780.00;1 820.00;1 797.00;1 922.00;1 922.00;1 852.00;1 404.00;1 238.00;1 145.00;1 524.00;1 576.00;1 213.00;1 474.66;1 358.13;1 482.00;1 731.90;1 349.00;1 469.00;1 399.92;1 230.90;1 300.00;1 315.23;1 295.80;1 303.09;1 303.92;1 296.87;1 300.71;1 309.50;1 316.83;1 324.17;1 329.09;;;
China (People's Republic of);Wheat;Thousand tonnes;98 228.90;95 950.00;101 587.00;106 390.00;99 297.00;102 207.00;110 569.00;123 289.00;109 726.00;113 880.00;99 636.00;93 876.00;90 290.00;86 488.00;91 952.00;97 445.00;108 466.00;109 525.00;112 932.00;115 834.00;116 141.00;118 625.00;122 540.00;123 710.00;128 821.00;132 639.00;133 271.00;134 334.00;131 443.00;133 596.00;134 250.00;130 570.64;130 776.33;131 153.53;131 437.02;131 816.71;132 188.65;132 533.89;132 878.26;133 200.75;133 533.69;;;
Colombia;Wheat;Thousand tonnes;105,00;94,00;75,00;96,00;105,00;74,00;65,00;50,00;39,00;40,00;37,00;32,00;36,45;41,39;43,00;50,00;39,69;48,02;57,08;34,15;22,66;21,10;21,90;17,25;16,61;8,93;23,10;7,03;4,40;4,00;5,00;4,62;4,87;4,99;5,14;5,20;5,35;5,53;5,68;5,84;5,98;;;
Egypt;Wheat;Thousand tonnes;4 268.00;4 483.00;4 618.00;4 833.00;4 437.00;5 722.00;5 735.00;5 849.00;6 093.00;6 347.00;6 564.00;6 255.00;6 625.00;6 845.00;7 178.00;8 141.00;8 274.00;7 379.00;7 977.00;8 523.00;7 177.00;8 407.00;8 795.00;9 460.00;9 280.00;9 608.00;9 342.00;8 421.00;8 348.63;9 000.00;9 000.00;8 889.04;9 034.01;9 236.43;9 424.32;9 572.54;9 752.36;9 930.87;10 110.53;10 294.00;10 470.31;;;
Ethiopia;Wheat;Thousand tonnes;0,00;0,00;0,00;874,83;1 084.00;1 162.00;1 144.00;1 093.00;1 143.00;1 150.00;1 235.00;1 596.00;1 448.00;1 618.00;1 614.00;2 177.00;2 219.00;2 463.00;2 314.00;3 076.00;2 856.00;2 916.00;3 435.00;3 925.00;4 232.00;4 650.00;4 538.00;4 643.00;4 838.00;5 315.00;5 050.00;5 162.91;5 214.95;5 309.01;5 352.45;5 380.20;5 439.14;5 501.02;5 556.64;5 611.68;5 654.11;;;
India;Wheat;Thousand tonnes;49 850.00;55 135.00;55 690.00;57 210.00;59 840.00;65 767.00;62 097.00;69 350.00;66 345.00;71 288.00;76 369.00;69 681.00;72 770.00;65 760.00;72 150.00;68 640.00;69 354.50;75 806.70;78 570.20;80 679.40;80 803.60;86 874.00;94 880.00;93 510.00;95 850.00;86 530.00;92 290.00;98 510.00;99 870.00;103 600.00;107 590.00;109 418.01;109 754.28;112 053.92;112 813.82;114 894.16;115 892.20;117 753.20;118 887.00;120 622.34;121 842.96;;;
Indonesia;Wheat;Thousand tonnes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
Iran;Wheat;Thousand tonnes;8 012.00;8 793.00;10 179.00;10 732.00;10 870.00;11 228.00;10 015.00;10 045.00;11 955.00;8 673.00;8 088.00;9 459.00;12 450.00;13 440.00;14 548.00;14 308.00;14 663.75;15 886.61;6 999.98;12 093.03;12 142.99;8 677.97;8 816.00;9 304.25;10 578.70;11 522.32;14 592.00;14 000.00;14 500.00;14 500.00;14 000.00;14 077.78;14 151.38;14 248.85;14 313.21;14 364.96;14 434.24;14 512.66;14 590.42;14 667.97;14 736.67;;;
Israel;Wheat;Thousand tonnes;291,00;180,00;254,00;217,00;103,00;242,00;185,00;116,00;155,00;29,00;96,00;162,00;179,00;187,00;128,00;201,00;131,20;159,00;76,00;133,00;112,00;142,00;222,00;178,00;140,00;173,00;168,00;50,00;70,00;75,00;85,00;78,13;79,25;80,19;81,51;82,61;83,81;85,12;86,44;87,78;89,11;;;
Japan;Wheat;Thousand tonnes;952,00;759,00;759,00;638,00;565,00;444,00;478,00;573,00;570,00;583,00;688,00;700,00;829,00;856,00;860,00;875,00;837,00;910,00;881,00;674,20;571,00;746,30;858,00;812,00;852,00;1 004.00;791,00;907,00;765,00;1 037.00;1 037.00;867,01;869,27;871,32;871,43;874,22;877,86;880,73;882,54;883,86;885,36;;;
Kazakhstan;Wheat;Thousand tonnes;0,00;12 889.00;18 285.00;11 585.00;9 052.00;7 500.00;7 678.00;8 955.00;5 500.00;11 242.00;9 091.00;12 700.00;12 674.00;11 537.00;9 937.00;11 198.30;13 460.48;16 466.87;12 538.19;17 052.02;9 638.40;22 732.07;9 841.13;13 940.81;12 996.86;13 747.59;14 985.38;14 802.86;13 946.89;11 451.60;14 255.90;14 295.07;14 491.80;14 727.79;15 027.69;15 284.63;15 584.17;15 877.13;16 165.75;16 455.42;16 735.11;;;
Korea;Wheat;Thousand tonnes;0,89;0,55;0,55;1,48;2,16;10,26;10,92;7,43;4,78;5,63;2,34;2,84;5,83;10,01;12,62;7,68;5,81;7,35;10,36;18,78;39,12;43,68;37,01;19,06;23,41;26,43;38,70;37,42;21,02;19,36;27,15;27,30;27,35;27,44;27,60;27,83;28,04;28,20;28,34;28,46;28,59;;;
Malaysia;Wheat;Thousand tonnes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
Mexico;Wheat;Thousand tonnes;3 931.00;4 060.74;3 620.50;3 582.45;4 150.92;3 468.22;3 375.01;3 656.59;3 235.08;3 020.90;3 493.21;3 275.46;3 236.18;2 715.77;2 321.22;3 015.18;3 378.12;3 515.39;4 213.55;4 116.16;3 676.71;3 627.51;3 274.34;3 357.31;3 669.81;3 710.71;3 862.91;3 503.52;2 943.45;3 252.23;2 957.48;3 054.64;3 057.85;3 093.84;3 132.23;3 144.10;3 153.74;3 166.57;3 186.93;3 214.25;3 232.20;;;
New Zealand;Wheat;Thousand tonnes;180,69;191,04;219,41;241,85;245,17;277,01;305,92;302,33;281,59;325,16;364,00;301,50;318,92;255,86;318,95;261,80;344,43;343,35;403,46;444,89;383,26;488,61;447,80;467,27;413,50;399,12;459,30;405,20;371,00;398,10;482,06;489,14;495,20;502,53;509,10;515,20;521,76;528,74;535,79;542,98;549,91;;;
Nigeria;Wheat;Thousand tonnes;50,00;60,00;40,00;33,00;35,00;44,00;47,00;66,00;98,00;101,00;73,00;51,00;54,00;58,00;62,00;66,00;71,00;44,00;53,00;80,00;108,00;165,00;100,00;80,00;70,00;60,00;60,00;74,00;74,00;63,00;58,00;64,85;65,73;66,22;67,64;67,95;68,78;69,46;70,05;70,60;70,94;;;
Norway;Wheat;Thousand tonnes;224,00;246,00;193,00;379,00;280,00;312,00;266,00;256,00;323,00;225,80;308,57;254,38;256,56;344,08;401,43;390,40;351,62;395,46;449,10;274,91;328,11;280,85;271,87;210,44;385,43;491,44;485,04;478,65;472,25;465,85;468,97;483,82;477,08;471,53;476,27;480,48;485,17;490,31;495,49;500,71;505,54;;;
OECD - Total;Wheat;Thousand tonnes;279 675.93;258 036.45;258 730.75;260 935.62;249 227.66;259 965.12;280 892.59;279 339.72;293 378.19;277 489.13;270 282.90;250 269.09;230 459.34;250 518.24;282 301.18;271 818.81;238 947.52;234 356.83;293 923.32;276 112.11;273 976.01;277 239.73;271 970.53;293 150.50;291 124.89;296 454.45;298 555.06;278 418.13;264 876.58;280 990.77;276 200.59;279 226.12;280 727.31;282 595.79;284 539.06;285 240.00;287 000.06;288 762.24;290 394.34;292 522.53;294 306.04;;;
Pakistan;Wheat;Thousand tonnes;14 315.00;14 565.00;15 684.00;16 157.00;15 213.00;17 002.00;16 907.00;16 650.00;18 694.00;17 857.60;21 078.60;19 023.70;18 226.50;19 183.30;19 499.80;21 612.30;21 276.80;23 294.70;20 958.80;24 033.00;23 310.80;25 213.80;23 473.40;24 211.36;25 979.34;25 086.17;25 633.00;26 674.00;25 076.00;24 358.00;25 250.00;26 019.74;26 071.79;26 564.38;27 014.98;27 469.30;28 009.61;28 524.81;29 025.67;29 520.40;29 995.75;;;
Paraguay;Wheat;Thousand tonnes;259,00;328,00;425,00;376,00;209,00;543,00;400,00;229,00;180,00;188,00;220,00;532,00;537,00;715,00;800,00;620,00;800,00;800,00;1 067.00;1 402.00;1 464.00;1 560.00;1 430.00;840,00;1 139.00;1 144.00;1 020.00;722,40;1 358.00;1 302.87;1 250.00;1 203.12;1 170.77;1 182.04;1 185.71;1 181.94;1 191.26;1 205.51;1 217.44;1 227.83;1 235.97;;;
Peru;Wheat;Thousand tonnes;88,00;87,00;94,00;126,00;127,00;125,00;146,00;124,00;146,00;170,00;188,00;182,00;187,00;190,00;170,00;179,00;191,00;182,00;207,00;226,00;219,00;214,00;226,00;230,02;218,90;214,80;191,00;192,10;194,54;186,70;178,00;195,19;199,33;206,23;212,39;217,01;222,52;228,68;234,98;241,59;248,05;;;
Philippines;Wheat;Thousand tonnes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
Russia;Wheat;Thousand tonnes;49 596.16;38 899.22;46 166.67;43 546.55;32 128.21;30 118.47;34 834.23;44 235.13;26 994.70;30 996.95;34 460.05;46 996.29;50 622.11;34 069.79;45 433.66;47 614.68;44 926.88;49 372.21;63 780.79;61 663.29;41 554.57;56 293.37;37 766.80;52 139.68;59 713.15;61 811.49;73 345.68;86 002.54;72 136.15;74 452.69;82 999.99;81 958.57;82 840.90;83 996.44;85 006.47;85 918.51;86 921.53;87 976.37;89 041.48;90 105.10;91 102.68;;;
Saudi Arabia;Wheat;Thousand tonnes;3 580.00;4 035.00;4 124.00;3 430.00;2 646.00;1 648.00;1 200.00;1 795.00;1 734.00;2 046.00;1 787.00;2 082.00;2 436.00;2 524.00;2 776.00;2 648.00;2 630.00;2 558.00;1 986.00;1 152.00;1 349.00;1 184.00;854,25;660,15;718,53;10,00;10,00;10,00;586,40;200,00;500,00;327,33;327,58;286,60;263,00;244,36;241,00;244,77;253,61;267,01;283,10;;;
South Africa;Wheat;Thousand tonnes;1 709.00;2 142.00;1 324.00;1 984.00;1 840.00;1 977.00;2 712.00;2 429.00;1 892.00;1 725.00;2 428.00;2 504.00;2 438.00;1 547.00;1 680.00;1 905.00;2 105.00;1 905.00;2 172.00;1 967.00;1 436.00;2 013.00;1 879.00;1 879.00;1 759.00;1 449.00;1 910.00;1 535.00;1 868.00;1 535.00;2 147.90;2 079.51;2 022.68;1 963.35;1 926.71;1 858.40;1 804.11;1 749.22;1 676.79;1 597.23;1 511.02;;;
Switzerland;Wheat;Thousand tonnes;563,00;602,00;546,00;591,00;584,00;631,00;679,00;597,00;594,10;489,45;561,16;496,20;508,50;428,40;528,30;521,40;533,20;533,60;536,99;536,96;507,47;547,82;511,57;476,03;546,37;523,17;382,69;524,69;490,83;456,02;445,99;493,79;493,56;494,40;494,21;493,60;493,55;493,75;493,92;494,09;493,94;;;
Thailand;Wheat;Thousand tonnes;0,00;0,00;0,00;0,00;0,00;0,00;0,70;0,80;0,80;0,75;0,80;0,80;0,80;0,80;0,80;0,80;1,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;1,00;1,00;1,00;1,30;1,30;1,00;1,00;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,02;0,02;;;
Türkiye;Wheat;Thousand tonnes;20 022.00;20 419.00;19 318.00;21 016.00;17 514.00;18 015.00;18 515.00;18 650.00;21 000.00;18 000.00;21 009.00;19 007.00;19 500.00;19 000.00;21 000.00;21 500.00;20 010.00;17 234.00;17 782.00;20 600.00;19 674.00;21 800.00;20 100.00;22 050.00;19 000.00;22 600.00;20 600.00;21 500.00;20 000.00;19 000.00;20 500.00;20 663.82;20 947.13;21 192.35;21 485.88;21 770.14;22 094.78;22 419.79;22 745.29;23 078.23;23 409.07;;;
Ukraine;Wheat;Thousand tonnes;0,00;27 860.51;19 507.00;21 831.00;13 857.00;17 000.00;15 000.00;19 000.00;17 000.00;15 000.00;11 000.00;21 333.00;19 756.00;3 600.00;17 520.00;18 699.00;13 947.30;13 937.70;25 885.40;20 886.40;16 851.30;22 323.60;15 762.60;22 279.30;24 113.97;26 532.10;26 099.00;26 159.00;24 605.84;28 327.90;25 100.00;29 029.11;29 546.19;30 357.99;31 258.70;31 948.47;32 748.17;33 541.60;34 327.41;35 107.61;35 858.12;;;
United Kingdom;Wheat;Thousand tonnes;14 033.00;14 363.00;14 095.00;12 890.00;13 316.00;14 312.00;16 100.00;15 018.00;15 449.00;14 867.00;16 704.00;11 580.00;15 973.00;14 288.00;15 473.00;14 863.00;14 755.00;13 221.00;17 222.40;14 076.00;14 878.00;15 257.00;13 261.00;11 921.00;16 608.94;16 433.04;14 383.47;14 838.37;13 564.48;16 271.36;10 132.99;15 096.02;15 170.41;15 229.36;15 444.36;15 523.72;15 849.93;15 936.73;16 276.01;16 595.10;16 877.89;;;
United States;Wheat;Thousand tonnes;74 296.96;53 890.40;67 136.43;65 220.42;63 168.34;59 401.64;61 981.72;67 536.50;69 324.60;62 460.72;60 642.69;53 000.44;44 062.70;63 821.52;58 732.13;57 289.68;49 315.39;56 255.47;68 012.78;60 365.09;60 065.71;54 404.78;61 290.43;58 106.16;55 139.62;56 119.39;62 841.74;47 355.84;51 302.16;52 581.31;49 696.42;51 456.31;51 672.97;51 909.17;52 082.34;52 049.40;52 487.35;52 952.43;52 774.38;53 170.96;53 584.09;;;
Viet Nam;Wheat;Thousand tonnes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
World;Wheat;Thousand tonnes;539 753.31;559 921.45;570 759.94;576 845.51;540 506.38;560 722.20;601 242.94;628 474.96;610 675.71;603 435.97;587 242.79;587 692.51;576 058.79;560 027.80;629 768.79;622 514.80;602 943.16;612 839.34;679 898.29;685 894.17;652 276.64;698 284.01;659 768.35;714 544.92;733 358.84;736 095.60;762 579.18;760 578.47;731 389.33;759 896.18;766 823.16;776 176.77;780 371.71;788 908.22;795 799.22;802 170.15;809 292.31;817 312.08;824 418.52;832 583.92;839 660.93;;;
Argentina;Maize;Thousand tonnes;7 685.00;10 701.00;10 901.00;10 360.00;11 404.00;10 518.00;15 537.00;19 361.00;13 504.00;16 781.00;15 359.00;14 712.00;15 045.00;14 951.00;20 483.00;14 446.00;21 755.00;22 017.00;13 121.00;22 677.00;23 800.00;21 197.00;32 100.00;33 000.00;33 800.00;39 800.00;49 500.00;43 460.00;57 000.00;58 500.00;60 255.00;57 200.22;57 960.46;58 941.47;59 317.13;60 222.97;61 442.33;62 626.79;63 751.96;64 605.63;65 577.23;;;
Australia;Maize;Thousand tonnes;193,70;268,90;198,80;204,10;242,40;311,10;397,70;271,80;338,20;406,00;345,00;454,00;310,00;395,00;420,00;362,00;239,00;387,00;376,00;328,00;357,00;451,00;506,00;390,00;495,00;400,00;436,00;387,00;327,00;207,00;200,79;346,08;350,16;354,71;355,24;356,86;359,52;363,20;366,69;369,65;372,41;;;
Brazil;Maize;Thousand tonnes;24 096.10;30 771.20;29 207.70;33 173.70;37 441.90;32 404.70;35 715.60;30 187.80;32 393.40;31 640.50;42 289.70;35 266.80;47 410.90;42 128.50;35 006.70;42 514.90;51 369.90;58 652.30;51 003.80;56 018.10;57 406.90;72 979.50;81 505.70;80 051.70;84 672.40;66 530.60;97 842.80;80 709.50;100 042.70;102 515.00;104 890.70;101 398.07;103 762.54;106 277.15;107 676.45;109 453.11;111 516.24;113 864.09;116 214.27;118 342.31;120 452.46;;;
BRICS;Maize;Thousand tonnes;140 942.15;142 977.27;146 714.70;161 194.70;151 360.90;165 833.70;185 191.60;155 680.80;184 890.40;183 767.10;215 245.09;173 440.00;191 140.60;184 774.80;194 565.70;206 591.80;228 919.25;249 692.72;262 104.50;263 381.03;283 893.05;322 746.94;354 023.62;379 324.15;380 567.54;375 480.40;420 216.61;394 873.25;408 157.75;422 169.30;424 508.68;429 433.83;440 103.04;447 820.40;452 829.68;458 338.55;464 179.79;470 211.16;476 448.79;482 570.76;488 829.23;;;
Canada;Maize;Thousand tonnes;7 066.60;7 412.50;4 882.60;6 755.20;7 189.90;7 280.90;7 541.70;7 179.80;8 952.40;9 161.30;6 953.70;8 389.20;8 998.80;9 587.30;8 836.80;9 332.20;8 989.80;11 648.70;10 642.80;9 796.20;12 043.30;11 358.70;13 060.10;14 190.70;11 606.40;13 679.50;13 889.00;14 095.50;13 884.80;13 403.90;13 563.41;12 698.60;12 906.87;13 120.27;13 249.55;13 409.71;13 587.60;13 793.05;13 999.01;14 191.33;14 379.15;;;
Chile;Maize;Thousand tonnes;836,00;911,00;899,00;937,00;942,00;932,00;881,00;943,00;624,00;652,00;778,00;924,00;1 190.00;1 321.00;1 508.00;1 382.00;1 123.00;1 365.00;1 346.00;1 358.00;1 438.00;1 493.00;1 519.00;1 186.00;1 539.00;1 174.00;1 062.50;1 110.60;973,18;592,90;594,48;609,05;602,04;608,62;610,05;619,00;631,21;643,45;654,73;665,21;676,32;;;
China (People's Republic of);Maize;Thousand tonnes;96 818.90;98 773.00;95 383.00;102 704.00;99 277.00;111 986.00;127 471.00;104 309.00;132 954.00;128 086.00;151 610.19;114 090.00;121 310.00;115 830.00;130 290.00;139 372.00;151 603.00;155 123.00;172 120.00;173 259.00;190 752.00;211 316.00;229 559.00;248 453.00;249 764.00;264 992.00;263 613.00;259 071.00;257 174.00;260 770.00;260 673.00;266 363.31;273 539.00;277 720.15;280 175.58;282 595.49;284 903.37;287 140.24;289 554.17;292 071.37;294 689.69;;;
Colombia;Maize;Thousand tonnes;1 213.00;1 274.00;1 056.00;1 130.00;1 161.00;1 020.00;967,00;978,00;755,00;960,00;1 204.00;1 192.00;1 132.00;1 513.90;1 623.20;1 588.30;1 531.10;1 733.20;1 726.50;1 560.30;1 421.80;1 719.70;1 872.80;1 779.00;1 803.00;1 471.00;1 295.10;1 578.91;1 500.00;1 550.00;1 430.00;1 626.40;1 510.58;1 545.35;1 558.73;1 576.64;1 624.01;1 664.75;1 696.73;1 721.25;1 745.17;;;
Egypt;Maize;Thousand tonnes;4 799.00;5 122.00;5 069.00;5 039.00;5 112.00;4 535.00;5 165.00;5 806.00;6 337.00;6 143.00;6 474.00;6 842.00;6 357.00;6 530.00;6 236.00;7 698.00;6 374.00;6 243.00;7 401.00;7 686.00;7 041.00;6 876.00;8 094.00;7 957.00;8 060.00;7 803.00;7 818.00;8 542.00;7 300.00;7 450.00;7 500.00;7 329.41;7 437.75;7 526.97;7 558.33;7 612.58;7 677.35;7 740.52;7 798.21;7 850.66;7 907.38;;;
