Location;Crop;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;
Ukraine;Wheat;Tonnes/hectare;3,093;3,988;3,092;3,782;3,038;3,103;2,546;2,919;3,014;2,529;2,136;3,100;2,927;1,367;3,110;2,846;2,531;2,342;3,670;3,093;2,682;3,353;2,800;3,393;3,889;3,879;4,205;4,116;3,726;4,158;3,820;4,309;4,379;4,459;4,533;4,607;4,687;4,769;4,851;4,934;5,018;;;
United Kingdom;Wheat;Tonnes/hectare;6,971;7,252;6,820;7,328;7,353;7,700;8,146;7,378;7,554;8,050;8,008;7,083;8,003;7,778;7,775;7,961;8,037;7,225;8,280;7,930;7,673;7,747;6,657;7,381;8,579;8,970;7,890;8,280;7,760;8,960;7,161;8,229;8,261;8,301;8,327;8,351;8,381;8,416;8,449;8,482;8,512;;;
United States;Wheat;Tonnes/hectare;2,657;2,304;2,642;2,570;2,526;2,410;2,439;2,657;2,904;2,869;2,822;2,700;2,377;2,970;2,903;2,826;2,604;2,726;3,017;2,989;3,118;2,942;3,104;3,170;2,937;2,932;3,545;3,112;3,201;3,474;3,346;3,306;3,334;3,361;3,387;3,413;3,440;3,475;3,521;3,566;3,609;;;
Viet Nam;Wheat;Tonnes/hectare;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,028;1,041;1,056;1,072;1,087;1,105;1,122;1,139;1,157;1,174;;;
World;Wheat;Tonnes/hectare;2,643;2,542;2,591;2,584;2,506;2,542;2,622;2,759;2,702;2,799;2,698;2,717;2,665;2,656;2,894;2,833;2,831;2,813;3,034;3,019;2,933;3,145;3,001;3,231;3,291;3,316;3,440;3,492;3,394;3,503;3,455;3,478;3,507;3,537;3,563;3,590;3,619;3,648;3,680;3,711;3,741;;;
Argentina;Maize;Tonnes/hectare;4,04;4,53;4,36;4,24;4,52;4,04;4,56;6,08;5,37;5,42;5,46;6,08;6,48;6,39;7,36;5,90;7,67;6,45;5,58;7,81;6,35;5,74;6,60;6,82;7,31;7,45;7,57;6,09;7,88;7,57;8,40;7,95;8,03;8,11;8,11;8,16;8,23;8,29;8,35;8,41;8,46;;;
Australia;Maize;Tonnes/hectare;3,99;5,19;4,43;4,66;4,83;5,53;5,96;4,74;5,24;4,93;4,65;5,50;6,25;5,63;5,80;5,39;4,89;5,69;5,82;5,56;5,74;6,47;6,49;7,46;8,31;7,51;6,43;7,34;5,55;6,96;3,98;5,49;5,54;5,59;5,61;5,65;5,70;5,74;5,79;5,83;5,87;;;
Brazil;Maize;Tonnes/hectare;1,79;2,19;2,35;2,34;2,62;2,36;2,59;2,65;2,59;2,48;3,26;2,86;3,58;3,30;2,87;3,28;3,65;3,97;3,60;4,31;4,16;4,81;5,15;5,06;5,40;4,18;5,56;4,86;5,72;5,53;5,69;5,61;5,72;5,84;5,92;6,02;6,13;6,24;6,34;6,45;6,55;;;
BRICS;Maize;Tonnes/hectare;3,10;3,08;3,29;3,48;3,32;3,54;3,74;3,39;3,84;3,71;4,60;3,66;3,92;3,84;3,96;4,15;4,21;4,37;4,52;4,42;4,61;4,92;5,13;5,26;5,16;5,04;5,45;5,37;5,55;5,65;5,67;5,68;5,78;5,87;5,92;5,98;6,04;6,10;6,16;6,22;6,29;;;
Canada;Maize;Tonnes/hectare;6,86;6,71;5,69;6,67;7,39;7,26;6,92;6,87;8,01;7,97;6,28;6,62;7,01;7,82;8,24;8,60;8,47;8,51;9,07;8,39;9,75;8,93;9,21;9,54;9,29;10,21;9,83;10,02;9,71;9,24;9,67;9,54;9,60;9,66;9,69;9,74;9,79;9,85;9,90;9,95;10,00;;;
Chile;Maize;Tonnes/hectare;8,36;8,51;8,48;8,92;9,06;9,41;8,23;9,43;8,55;9,45;9,37;10,62;10,82;11,10;11,25;11,14;8,90;10,13;10,49;11,08;12,00;10,72;10,63;10,10;12,29;11,54;11,23;12,48;12,10;9,19;9,50;9,64;9,78;9,93;10,04;10,18;10,33;10,48;10,62;10,77;10,92;;;
China (People's Republic of);Maize;Tonnes/hectare;4,52;4,58;4,53;4,96;4,69;4,92;5,20;4,39;5,27;4,95;6,58;4,70;4,92;4,81;5,12;5,29;5,33;5,26;5,56;5,26;5,45;5,75;5,87;6,02;5,81;5,89;5,97;6,11;6,10;6,32;6,32;6,32;6,43;6,52;6,55;6,59;6,63;6,67;6,71;6,75;6,79;;;
